var_type,var_name,index_1,index_2,index_3,index_4,value
x,x[1],1,,,,1.0
x,x[2],2,,,,1.0
x,x[3],3,,,,1.0
x,x[4],4,,,,1.0
x,x[5],5,,,,0.0
x,x[6],6,,,,1.0
x,x[7],7,,,,0.0
x,x[8],8,,,,0.0
x,x[9],9,,,,0.0
x,x[10],10,,,,0.0
x,x[11],11,,,,1.0
x,x[12],12,,,,0.0
x,x[13],13,,,,1.0
x,x[14],14,,,,1.0
x,x[15],15,,,,1.0
x,x[16],16,,,,1.0
x,x[17],17,,,,1.0
x,x[18],18,,,,1.0
x,x[19],19,,,,1.0
x,x[20],20,,,,1.0
x,x[21],21,,,,0.0
x,x[22],22,,,,0.0
x,x[23],23,,,,1.0
x,x[24],24,,,,0.0
x,x[25],25,,,,0.0
x,x[26],26,,,,1.0
x,x[27],27,,,,1.0
x,x[28],28,,,,1.0
x,x[29],29,,,,1.0
x,x[30],30,,,,1.0
x,x[31],31,,,,0.0
x,x[32],32,,,,1.0
x,x[33],33,,,,1.0
x,x[34],34,,,,1.0
x,x[35],35,,,,1.0
x,x[36],36,,,,1.0
x,x[37],37,,,,1.0
x,x[38],38,,,,1.0
x,x[39],39,,,,1.0
x,x[40],40,,,,0.0
x,x[41],41,,,,1.0
x,x[42],42,,,,1.0
x,x[43],43,,,,1.0
x,x[44],44,,,,1.0
x,x[45],45,,,,0.0
z,"z[1,1]",1,1,,,0.0
z,"z[1,2]",1,2,,,0.0
z,"z[1,3]",1,3,,,1.0
z,"z[1,4]",1,4,,,0.0
z,"z[1,5]",1,5,,,0.0
z,"z[2,1]",2,1,,,0.0
z,"z[2,2]",2,2,,,0.0
z,"z[2,3]",2,3,,,1.0
z,"z[2,4]",2,4,,,0.0
z,"z[2,5]",2,5,,,0.0
z,"z[3,1]",3,1,,,0.0
z,"z[3,2]",3,2,,,0.0
z,"z[3,3]",3,3,,,0.0
z,"z[3,4]",3,4,,,0.0
z,"z[3,5]",3,5,,,1.0
z,"z[4,1]",4,1,,,0.0
z,"z[4,2]",4,2,,,0.0
z,"z[4,3]",4,3,,,0.0
z,"z[4,4]",4,4,,,1.0
z,"z[4,5]",4,5,,,0.0
z,"z[5,1]",5,1,,,0.0
z,"z[5,2]",5,2,,,0.0
z,"z[5,3]",5,3,,,0.0
z,"z[5,4]",5,4,,,0.0
z,"z[5,5]",5,5,,,0.0
z,"z[6,1]",6,1,,,0.0
z,"z[6,2]",6,2,,,0.0
z,"z[6,3]",6,3,,,0.0
z,"z[6,4]",6,4,,,1.0
z,"z[6,5]",6,5,,,0.0
z,"z[7,1]",7,1,,,0.0
z,"z[7,2]",7,2,,,0.0
z,"z[7,3]",7,3,,,0.0
z,"z[7,4]",7,4,,,0.0
z,"z[7,5]",7,5,,,0.0
z,"z[8,1]",8,1,,,0.0
z,"z[8,2]",8,2,,,0.0
z,"z[8,3]",8,3,,,0.0
z,"z[8,4]",8,4,,,0.0
z,"z[8,5]",8,5,,,0.0
z,"z[9,1]",9,1,,,0.0
z,"z[9,2]",9,2,,,0.0
z,"z[9,3]",9,3,,,0.0
z,"z[9,4]",9,4,,,0.0
z,"z[9,5]",9,5,,,0.0
z,"z[10,1]",10,1,,,0.0
z,"z[10,2]",10,2,,,0.0
z,"z[10,3]",10,3,,,0.0
z,"z[10,4]",10,4,,,0.0
z,"z[10,5]",10,5,,,0.0
z,"z[11,1]",11,1,,,0.0
z,"z[11,2]",11,2,,,0.0
z,"z[11,3]",11,3,,,0.0
z,"z[11,4]",11,4,,,1.0
z,"z[11,5]",11,5,,,0.0
z,"z[12,1]",12,1,,,0.0
z,"z[12,2]",12,2,,,0.0
z,"z[12,3]",12,3,,,0.0
z,"z[12,4]",12,4,,,0.0
z,"z[12,5]",12,5,,,0.0
z,"z[13,1]",13,1,,,0.0
z,"z[13,2]",13,2,,,1.0
z,"z[13,3]",13,3,,,0.0
z,"z[13,4]",13,4,,,0.0
z,"z[13,5]",13,5,,,0.0
z,"z[14,1]",14,1,,,0.0
z,"z[14,2]",14,2,,,0.0
z,"z[14,3]",14,3,,,0.0
z,"z[14,4]",14,4,,,0.0
z,"z[14,5]",14,5,,,1.0
z,"z[15,1]",15,1,,,0.0
z,"z[15,2]",15,2,,,0.0
z,"z[15,3]",15,3,,,0.0
z,"z[15,4]",15,4,,,0.0
z,"z[15,5]",15,5,,,1.0
z,"z[16,1]",16,1,,,0.0
z,"z[16,2]",16,2,,,0.0
z,"z[16,3]",16,3,,,0.0
z,"z[16,4]",16,4,,,0.0
z,"z[16,5]",16,5,,,1.0
z,"z[17,1]",17,1,,,0.0
z,"z[17,2]",17,2,,,0.0
z,"z[17,3]",17,3,,,1.0
z,"z[17,4]",17,4,,,0.0
z,"z[17,5]",17,5,,,0.0
z,"z[18,1]",18,1,,,0.0
z,"z[18,2]",18,2,,,0.0
z,"z[18,3]",18,3,,,1.0
z,"z[18,4]",18,4,,,0.0
z,"z[18,5]",18,5,,,0.0
z,"z[19,1]",19,1,,,0.0
z,"z[19,2]",19,2,,,0.0
z,"z[19,3]",19,3,,,1.0
z,"z[19,4]",19,4,,,0.0
z,"z[19,5]",19,5,,,0.0
z,"z[20,1]",20,1,,,0.0
z,"z[20,2]",20,2,,,0.0
z,"z[20,3]",20,3,,,1.0
z,"z[20,4]",20,4,,,0.0
z,"z[20,5]",20,5,,,0.0
z,"z[21,1]",21,1,,,0.0
z,"z[21,2]",21,2,,,0.0
z,"z[21,3]",21,3,,,0.0
z,"z[21,4]",21,4,,,0.0
z,"z[21,5]",21,5,,,0.0
z,"z[22,1]",22,1,,,0.0
z,"z[22,2]",22,2,,,0.0
z,"z[22,3]",22,3,,,0.0
z,"z[22,4]",22,4,,,0.0
z,"z[22,5]",22,5,,,0.0
z,"z[23,1]",23,1,,,1.0
z,"z[23,2]",23,2,,,0.0
z,"z[23,3]",23,3,,,0.0
z,"z[23,4]",23,4,,,0.0
z,"z[23,5]",23,5,,,0.0
z,"z[24,1]",24,1,,,0.0
z,"z[24,2]",24,2,,,0.0
z,"z[24,3]",24,3,,,0.0
z,"z[24,4]",24,4,,,0.0
z,"z[24,5]",24,5,,,0.0
z,"z[25,1]",25,1,,,0.0
z,"z[25,2]",25,2,,,0.0
z,"z[25,3]",25,3,,,0.0
z,"z[25,4]",25,4,,,0.0
z,"z[25,5]",25,5,,,0.0
z,"z[26,1]",26,1,,,1.0
z,"z[26,2]",26,2,,,0.0
z,"z[26,3]",26,3,,,0.0
z,"z[26,4]",26,4,,,0.0
z,"z[26,5]",26,5,,,0.0
z,"z[27,1]",27,1,,,1.0
