var_type,var_name,order,factory,value,binary_value
x,x[1],1,,1.0,1
x,x[2],2,,1.0,1
x,x[3],3,,1.0,1
x,x[4],4,,1.0,1
x,x[5],5,,1.0,1
x,x[6],6,,1.0,1
x,x[7],7,,1.0,1
x,x[8],8,,1.0,1
x,x[9],9,,1.0,1
x,x[10],10,,1.0,1
x,x[11],11,,1.0,1
x,x[12],12,,1.0,1
x,x[13],13,,1.0,1
x,x[14],14,,1.0,1
x,x[15],15,,1.0,1
x,x[16],16,,1.0,1
x,x[17],17,,1.0,1
x,x[18],18,,1.0,1
x,x[19],19,,1.0,1
x,x[20],20,,1.0,1
x,x[21],21,,1.0,1
x,x[22],22,,1.0,1
x,x[23],23,,1.0,1
x,x[24],24,,1.0,1
x,x[25],25,,1.0,1
z,"z[1,1]",1,1,0.0,0
z,"z[1,2]",1,2,-0.0,0
z,"z[1,4]",1,4,-0.0,0
z,"z[1,5]",1,5,1.0,1
z,"z[2,2]",2,2,-0.0,0
z,"z[2,3]",2,3,-0.0,0
z,"z[2,4]",2,4,1.0,1
z,"z[2,5]",2,5,0.0,0
z,"z[3,1]",3,1,0.0,0
z,"z[3,3]",3,3,-0.0,0
z,"z[3,4]",3,4,-0.0,0
z,"z[3,5]",3,5,1.0,1
z,"z[4,1]",4,1,0.0,0
z,"z[4,3]",4,3,-0.0,0
z,"z[4,5]",4,5,1.0,1
z,"z[5,1]",5,1,-0.0,0
z,"z[5,2]",5,2,1.0,1
z,"z[5,4]",5,4,-0.0,0
z,"z[6,1]",6,1,0.0,0
z,"z[6,3]",6,3,-0.0,0
z,"z[6,4]",6,4,1.0,1
z,"z[7,1]",7,1,0.0,0
z,"z[7,2]",7,2,1.0,1
z,"z[7,3]",7,3,-0.0,0
z,"z[7,4]",7,4,-0.0,0
z,"z[7,5]",7,5,-0.0,0
z,"z[8,2]",8,2,1.0,1
z,"z[8,5]",8,5,-0.0,0
z,"z[9,3]",9,3,1.0,1
z,"z[9,5]",9,5,-0.0,0
z,"z[10,1]",10,1,0.0,0
z,"z[10,4]",10,4,1.0,1
z,"z[10,5]",10,5,-0.0,0
z,"z[11,1]",11,1,0.0,0
z,"z[11,2]",11,2,1.0,1
z,"z[11,3]",11,3,-0.0,0
z,"z[11,5]",11,5,-0.0,0
z,"z[12,1]",12,1,-0.0,0
z,"z[12,3]",12,3,-0.0,0
z,"z[12,4]",12,4,-0.0,0
z,"z[12,5]",12,5,1.0,1
z,"z[13,1]",13,1,0.0,0
z,"z[13,3]",13,3,-0.0,0
z,"z[13,5]",13,5,1.0,1
z,"z[14,1]",14,1,0.0,0
z,"z[14,2]",14,2,0.0,0
z,"z[14,4]",14,4,-0.0,0
z,"z[14,5]",14,5,1.0000000000000016,1
z,"z[15,3]",15,3,-0.0,0
z,"z[15,5]",15,5,1.0,1
z,"z[16,1]",16,1,-0.0,0
z,"z[16,3]",16,3,-0.0,0
z,"z[16,5]",16,5,1.0,1
z,"z[17,1]",17,1,0.0,0
z,"z[17,2]",17,2,1.0,1
z,"z[17,3]",17,3,-0.0,0
z,"z[18,2]",18,2,1.0,1
z,"z[18,3]",18,3,0.0,0
z,"z[18,4]",18,4,-0.0,0
z,"z[18,5]",18,5,-0.0,0
z,"z[19,3]",19,3,1.0,1
z,"z[19,5]",19,5,-0.0,0
z,"z[20,1]",20,1,0.0,0
z,"z[20,2]",20,2,1.0,1
z,"z[20,4]",20,4,-0.0,0
z,"z[20,5]",20,5,-0.0,0
z,"z[21,2]",21,2,-0.0,0
z,"z[21,5]",21,5,1.0,1
z,"z[22,2]",22,2,-0.0,0
z,"z[22,3]",22,3,-0.0,0
z,"z[22,4]",22,4,-0.0,0
z,"z[22,5]",22,5,1.0,1
z,"z[23,1]",23,1,0.0,0
z,"z[23,2]",23,2,1.0,1
z,"z[23,3]",23,3,-0.0,0
z,"z[24,2]",24,2,-0.0,0
z,"z[24,4]",24,4,-0.0,0
z,"z[24,5]",24,5,1.0,1
z,"z[25,1]",25,1,-0.0,0
z,"z[25,3]",25,3,-0.0,0
z,"z[25,4]",25,4,1.0,1
