var_type,var_name,order,factory,value,binary_value
x,x[1],1,,1.0,1
x,x[2],2,,1.0,1
x,x[3],3,,1.0,1
x,x[4],4,,1.0,1
x,x[5],5,,1.0,1
x,x[6],6,,-0.0,0
x,x[7],7,,1.0,1
x,x[8],8,,1.0,1
x,x[9],9,,1.0,1
x,x[10],10,,1.0,1
x,x[11],11,,1.0,1
x,x[12],12,,1.0,1
x,x[13],13,,1.0,1
x,x[14],14,,1.0,1
x,x[15],15,,1.0,1
x,x[16],16,,1.0,1
x,x[17],17,,1.0,1
x,x[18],18,,1.0,1
x,x[19],19,,1.0,1
x,x[20],20,,1.0,1
x,x[21],21,,1.0,1
x,x[22],22,,1.0,1
x,x[23],23,,1.0,1
x,x[24],24,,1.0,1
x,x[25],25,,1.0,1
x,x[26],26,,1.0,1
x,x[27],27,,1.0,1
x,x[28],28,,1.0,1
x,x[29],29,,1.0,1
x,x[30],30,,1.0,1
x,x[31],31,,-0.0,0
x,x[32],32,,1.0,1
x,x[33],33,,1.0,1
x,x[34],34,,1.0,1
x,x[35],35,,1.0,1
x,x[36],36,,1.0,1
x,x[37],37,,1.0,1
x,x[38],38,,1.0,1
x,x[39],39,,-0.0,0
x,x[40],40,,1.0,1
x,x[41],41,,1.0,1
x,x[42],42,,1.0,1
x,x[43],43,,1.0,1
x,x[44],44,,-0.0,0
x,x[45],45,,1.0,1
x,x[46],46,,1.0,1
x,x[47],47,,-0.0,0
x,x[48],48,,1.0,1
x,x[49],49,,1.0,1
x,x[50],50,,1.0,1
x,x[51],51,,1.0,1
x,x[52],52,,1.0,1
x,x[53],53,,-0.0,0
x,x[54],54,,1.0,1
x,x[55],55,,1.0,1
x,x[56],56,,-0.0,0
x,x[57],57,,1.0,1
x,x[58],58,,1.0,1
x,x[59],59,,1.0,1
x,x[60],60,,1.0,1
x,x[61],61,,1.0,1
x,x[62],62,,1.0,1
x,x[63],63,,1.0,1
x,x[64],64,,1.0,1
x,x[65],65,,1.0,1
z,"z[1,3]",1,3,0.0,0
z,"z[1,6]",1,6,1.0,1
z,"z[2,1]",2,1,0.0,0
z,"z[2,4]",2,4,-0.0,0
z,"z[2,6]",2,6,1.0,1
z,"z[2,7]",2,7,0.0,0
z,"z[3,1]",3,1,0.0,0
z,"z[3,2]",3,2,-0.0,0
z,"z[3,3]",3,3,-0.0,0
z,"z[3,4]",3,4,0.0,0
z,"z[3,5]",3,5,-0.0,0
z,"z[3,6]",3,6,-0.0,0
z,"z[3,7]",3,7,1.0,1
z,"z[4,1]",4,1,0.0,0
z,"z[4,2]",4,2,-0.0,0
z,"z[4,3]",4,3,1.0,1
z,"z[4,4]",4,4,0.0,0
z,"z[4,5]",4,5,-0.0,0
z,"z[4,6]",4,6,0.0,0
z,"z[5,1]",5,1,0.0,0
z,"z[5,2]",5,2,1.0,1
z,"z[5,3]",5,3,0.0,0
z,"z[5,5]",5,5,-0.0,0
z,"z[5,6]",5,6,-0.0,0
z,"z[6,2]",6,2,-0.0,0
z,"z[6,3]",6,3,0.0,0
z,"z[6,4]",6,4,0.0,0
z,"z[6,5]",6,5,-0.0,0
z,"z[6,6]",6,6,-0.0,0
z,"z[7,2]",7,2,1.0,1
z,"z[7,3]",7,3,-0.0,0
z,"z[7,4]",7,4,0.0,0
z,"z[7,7]",7,7,-0.0,0
z,"z[8,1]",8,1,0.0,0
z,"z[8,3]",8,3,1.0,1
z,"z[8,4]",8,4,0.0,0
z,"z[8,5]",8,5,-0.0,0
z,"z[8,6]",8,6,-0.0,0
z,"z[9,2]",9,2,-0.0,0
z,"z[9,4]",9,4,-0.0,0
z,"z[9,6]",9,6,1.0,1
z,"z[9,7]",9,7,-0.0,0
z,"z[10,1]",10,1,0.0,0
z,"z[10,4]",10,4,-0.0,0
z,"z[10,6]",10,6,-0.0,0
z,"z[10,7]",10,7,1.0,1
z,"z[11,1]",11,1,0.0,0
z,"z[11,3]",11,3,-0.0,0
