var_type,var_name,index_1,index_2,index_3,index_4,value
x,x[1],1,,,,1.0
x,x[2],2,,,,0.0
x,x[3],3,,,,1.0
x,x[4],4,,,,1.0
x,x[5],5,,,,1.0
x,x[6],6,,,,1.0
x,x[7],7,,,,1.0
x,x[8],8,,,,0.0
x,x[9],9,,,,1.0
x,x[10],10,,,,0.0
x,x[11],11,,,,1.0
x,x[12],12,,,,1.0
x,x[13],13,,,,1.0
x,x[14],14,,,,1.0
x,x[15],15,,,,1.0
x,x[16],16,,,,0.0
x,x[17],17,,,,0.0
x,x[18],18,,,,1.0
x,x[19],19,,,,1.0
x,x[20],20,,,,0.0
x,x[21],21,,,,1.0
x,x[22],22,,,,1.0
x,x[23],23,,,,0.0
x,x[24],24,,,,1.0
x,x[25],25,,,,0.0
z,"z[1,1]",1,1,,,0.0
z,"z[1,2]",1,2,,,1.0
z,"z[1,3]",1,3,,,0.0
z,"z[2,1]",2,1,,,0.0
z,"z[2,2]",2,2,,,0.0
z,"z[2,3]",2,3,,,0.0
z,"z[3,1]",3,1,,,1.0
z,"z[3,2]",3,2,,,0.0
z,"z[3,3]",3,3,,,0.0
z,"z[4,1]",4,1,,,1.0
z,"z[4,2]",4,2,,,0.0
z,"z[4,3]",4,3,,,0.0
z,"z[5,1]",5,1,,,0.0
z,"z[5,2]",5,2,,,1.0
z,"z[5,3]",5,3,,,0.0
z,"z[6,1]",6,1,,,0.0
z,"z[6,2]",6,2,,,0.0
z,"z[6,3]",6,3,,,1.0
z,"z[7,1]",7,1,,,0.0
z,"z[7,2]",7,2,,,0.0
z,"z[7,3]",7,3,,,1.0
z,"z[8,1]",8,1,,,0.0
z,"z[8,2]",8,2,,,0.0
z,"z[8,3]",8,3,,,0.0
z,"z[9,1]",9,1,,,0.0
z,"z[9,2]",9,2,,,1.0
z,"z[9,3]",9,3,,,0.0
z,"z[10,1]",10,1,,,0.0
z,"z[10,2]",10,2,,,0.0
z,"z[10,3]",10,3,,,0.0
z,"z[11,1]",11,1,,,1.0
z,"z[11,2]",11,2,,,0.0
z,"z[11,3]",11,3,,,0.0
z,"z[12,1]",12,1,,,1.0
z,"z[12,2]",12,2,,,0.0
z,"z[12,3]",12,3,,,0.0
z,"z[13,1]",13,1,,,0.0
z,"z[13,2]",13,2,,,1.0
z,"z[13,3]",13,3,,,0.0
z,"z[14,1]",14,1,,,1.0
z,"z[14,2]",14,2,,,0.0
z,"z[14,3]",14,3,,,0.0
z,"z[15,1]",15,1,,,1.0
z,"z[15,2]",15,2,,,0.0
z,"z[15,3]",15,3,,,0.0
z,"z[16,1]",16,1,,,0.0
z,"z[16,2]",16,2,,,0.0
z,"z[16,3]",16,3,,,0.0
z,"z[17,1]",17,1,,,0.0
z,"z[17,2]",17,2,,,0.0
z,"z[17,3]",17,3,,,0.0
z,"z[18,1]",18,1,,,0.0
z,"z[18,2]",18,2,,,1.0
z,"z[18,3]",18,3,,,0.0
z,"z[19,1]",19,1,,,0.0
z,"z[19,2]",19,2,,,1.0
z,"z[19,3]",19,3,,,0.0
z,"z[20,1]",20,1,,,0.0
z,"z[20,2]",20,2,,,0.0
z,"z[20,3]",20,3,,,0.0
z,"z[21,1]",21,1,,,1.0
z,"z[21,2]",21,2,,,0.0
z,"z[21,3]",21,3,,,0.0
z,"z[22,1]",22,1,,,1.0
z,"z[22,2]",22,2,,,0.0
z,"z[22,3]",22,3,,,0.0
z,"z[23,1]",23,1,,,0.0
z,"z[23,2]",23,2,,,0.0
z,"z[23,3]",23,3,,,0.0
z,"z[24,1]",24,1,,,0.0
z,"z[24,2]",24,2,,,1.0
z,"z[24,3]",24,3,,,0.0
z,"z[25,1]",25,1,,,0.0
z,"z[25,2]",25,2,,,0.0
z,"z[25,3]",25,3,,,0.0
o,"o[1,1,1]",1,1,1,,0.0
o,"o[1,1,2]",1,1,2,,0.0
o,"o[1,1,3]",1,1,3,,0.0
o,"o[1,1,4]",1,1,4,,0.0
o,"o[1,1,5]",1,1,5,,0.0
o,"o[1,2,1]",1,2,1,,35.87433758952882
o,"o[1,2,2]",1,2,2,,44.37187504363909
o,"o[1,2,3]",1,2,3,,52.740632130183045
o,"o[1,2,4]",1,2,4,,60.99490330280132
o,"o[1,3,1]",1,3,1,,0.0
o,"o[1,3,2]",1,3,2,,0.0
o,"o[1,3,3]",1,3,3,,0.0
o,"o[1,3,4]",1,3,4,,0.0
o,"o[1,3,5]",1,3,5,,0.0
o,"o[2,1,1]",2,1,1,,0.0
o,"o[2,1,2]",2,1,2,,0.0
o,"o[2,1,3]",2,1,3,,0.0
o,"o[2,1,4]",2,1,4,,0.0
o,"o[2,1,5]",2,1,5,,0.0
o,"o[2,2,1]",2,2,1,,0.0
